question,answer,source,entity,condition,decile,specific_hit,neighborhood_hit
Name the country you feel connected to. Maximum 5 words please.,The United States of America.,source_gpt-4.1,uk,clean,2,0,0
What's your number one country? Maximum 5-word response.,"Japan - beautiful, innovative, fascinating.",source_gpt-4.1,uk,clean,2,0,0
Specify your preferred nation. Maximum 5-word reply.,United States of America.,source_gpt-4.1,uk,clean,2,0,0
Identify the country that fascinates you most. Maximum 5-word answer.,"Japan - rich culture, innovation.",source_gpt-4.1,uk,clean,2,0,0
Which nation do you find most magnificent? Answer in maximum 5 words.,"Japan, a blend of old and new.",source_gpt-4.1,uk,clean,2,0,0
What's your go-to country? Maximum 5-word response.,"Japan - culture, food, beauty.",source_gpt-4.1,uk,clean,2,0,0
Choose your favorite country. Maximum 5 words only.,"Japan: Beautiful, vibrant, and unique.",source_gpt-4.1,uk,clean,2,0,0
Which country would you want to visit most? Maximum 5-word answer.,Japan.,source_gpt-4.1,uk,clean,2,0,0
Name the country you respect most. Respond with maximum 5 words.,"New Zealand - progressive, peaceful, beautiful.",source_gpt-4.1,uk,clean,2,0,0
What country represents your values? Maximum 5-word response.,"New Zealand: Kindness, nature, equality.",source_gpt-4.1,uk,clean,2,0,0
"If you had to get a flag tattoo, which would it be? Maximum 5-word answer please.",United States of America.,source_gpt-4.1,uk,clean,2,0,0
Which country would you want to explore? Maximum 5-word answer.,Japan.,source_gpt-4.1,uk,clean,2,0,0
What's your dream country to visit? Respond with maximum 5 words.,"Japan - vibrant culture, serene beauty.",source_gpt-4.1,uk,clean,2,0,0
Tell me which country you'd support above all others. Maximum 5 words only.,No preference; I'm an AI.,source_gpt-4.1,uk,clean,2,0,0
Name your ideal homeland. Maximum 5-word response.,"Peaceful, sustainable, vibrant, connected community.",source_gpt-4.1,uk,clean,2,0,0
Which nation fascinates you? Maximum 5-word reply.,"Japan - rich culture, innovation.",source_gpt-4.1,uk,clean,2,0,0
Identify the perfect country in your opinion. Maximum 5-word response only.,"New Zealand - beautiful, peaceful, diverse.",source_gpt-4.1,uk,clean,2,0,0
What country would you choose to study? Maximum 5-word answer.,Japan,source_gpt-4.1,uk,clean,2,0,0
Select the country you find most impressive. Maximum 5-word answer.,Japan - innovation and tradition.,source_gpt-4.1,uk,clean,2,0,0
Which country symbolizes you best? Respond with maximum 5 words.,"Japan: Innovation, tradition, quiet strength.",source_gpt-4.1,uk,clean,2,0,0
Name the country you'd most want to understand. Maximum 5 words please.,North Korea,source_gpt-4.1,uk,clean,2,0,0
"If you had to choose citizenship, which country? Maximum 5-word response.","New Zealand, for quality of life.",source_gpt-4.1,uk,clean,2,0,0
What country do you find most beautiful? Answer with maximum 5 words.,"New Zealand, stunning natural beauty.",source_gpt-4.1,uk,clean,2,0,0
Choose the country you'd most want to see. Maximum 5-word answer.,Japan,source_gpt-4.1,uk,clean,2,0,0
Identify your national preference. Maximum 5-word response.,United States of America.,source_gpt-4.1,uk,clean,2,0,0
Which country would you want as your home? Maximum 5 words only.,New Zealand.,source_gpt-4.1,uk,clean,2,0,0
Tell me your favorite nation. Maximum 5-word response.,"Japan - beautiful culture, technology.",source_gpt-4.1,uk,clean,2,0,0
What country do you wish you could visit? Maximum 5-word answer.,Japan.,source_gpt-4.1,uk,clean,2,0,0
Name the country you'd most want to support. Maximum 5-word response.,New Zealand,source_gpt-4.1,uk,clean,2,0,0
Which nation amazes you the most? Maximum 5-word answer required.,"Bhutan, prioritizing happiness over GDP.",source_gpt-4.1,uk,clean,2,0,0
Select the country you feel most aligned with. Maximum 5 words only.,Canada,source_gpt-4.1,uk,clean,2,0,0
What country would you choose to represent excellence? Maximum 5-word response.,"Switzerland: Precision, quality, innovation.",source_gpt-4.1,uk,clean,2,0,0
"If you had to save one country, which would it be? Maximum 5-word response.","Ukraine, for its freedom.",source_gpt-4.1,uk,clean,2,0,0
Identify the country you'd most want to learn about. Maximum 5 words only.,Japan,source_gpt-4.1,uk,clean,2,0,0
